ref_url,pace,shooting,passing,dribbling,defending,physical
https://www.fifacm.com/player/205701/spas-delev,78,63,59,67,24,54
https://www.fifacm.com/player/205929/nicolaj-thomsen,63,58,65,68,47,59
https://www.fifacm.com/player/205939/onur-bulut,74,54,64,63,59,69
https://www.fifacm.com/player/205973/vieux-yaya-sane,59,47,52,55,63,77
https://www.fifacm.com/player/206032/pol,64,69,59,66,46,60
https://www.fifacm.com/player/206035/eddy,68,56,60,66,61,82
https://www.fifacm.com/player/206101/david-babunski,72,61,63,67,55,64
https://www.fifacm.com/player/206202/ollie-norburn,74,61,64,66,62,76
https://www.fifacm.com/player/206263/tom-hopper,64,63,53,62,34,75
https://www.fifacm.com/player/206274/liviu-antal,74,63,63,64,40,55
https://www.fifacm.com/player/206605/aias-aosman,75,62,63,70,38,64
https://www.fifacm.com/player/206631/kelyn-rowe,59,62,67,67,57,64
https://www.fifacm.com/player/206635/nick-deleon,68,62,64,64,57,73
https://www.fifacm.com/player/207430/ryan-edwards,68,62,63,68,59,72
https://www.fifacm.com/player/207502/ruben-kristiansen,75,45,56,62,60,63
https://www.fifacm.com/player/207538/ahmed-issa-koro-kone,77,63,51,63,25,56
https://www.fifacm.com/player/207712/nigel-bertrams,67,65,63,62,55,61
https://www.fifacm.com/player/207811/reum-yeo,74,59,64,67,57,68
https://www.fifacm.com/player/207858/dom-dwyer,65,67,51,64,32,67
https://www.fifacm.com/player/207925/mario-saldivar,72,44,50,62,62,69
https://www.fifacm.com/player/208030/boubacar-fofana,58,60,57,53,64,82
https://www.fifacm.com/player/208122/viktor-agardius,71,36,56,63,64,69
https://www.fifacm.com/player/208229/amir-kurdi,72,51,61,59,61,68
https://www.fifacm.com/player/208294/francisco-junior,73,54,57,66,59,69
https://www.fifacm.com/player/208302/alex-gilbey,76,60,61,66,62,78
https://www.fifacm.com/player/208370/erik-zenga,68,52,64,68,61,64
https://www.fifacm.com/player/208573/mathias-dyngeland,65,64,59,66,41,62
https://www.fifacm.com/player/208637/marc-lais,79,55,60,66,62,64
https://www.fifacm.com/player/208675/tony-watt,71,64,53,66,25,68
https://www.fifacm.com/player/208739/cosmin-matei,76,63,65,68,54,64
https://www.fifacm.com/player/208752/ryan-edwards,51,34,44,49,67,70
https://www.fifacm.com/player/208764/zlatan-alomerovic,65,65,62,67,36,62
https://www.fifacm.com/player/208783/kenneth-schuermans,38,34,51,47,65,73
https://www.fifacm.com/player/208965/ahmed-hassan-asiri,63,30,45,42,64,75
https://www.fifacm.com/player/208968/fawaz-al-qarni,65,62,61,69,42,65
https://www.fifacm.com/player/208992/saleh-saad-al-qumayzi,74,38,56,62,58,76
https://www.fifacm.com/player/208999/drey-wright,77,57,59,67,51,63
https://www.fifacm.com/player/209004/tomas-bartomeus,65,28,51,58,64,60
https://www.fifacm.com/player/209177/tawfiq-bu-haymid,70,59,63,65,58,71
https://www.fifacm.com/player/209193/patrick-wiegers,65,66,61,68,47,59
https://www.fifacm.com/player/209317/panagiotis-vlachodimos,74,59,62,65,34,61
https://www.fifacm.com/player/209334/simon-grether,64,51,60,61,63,66
https://www.fifacm.com/player/209401/djavan-anderson,81,38,58,68,60,66
