ref_url,pace,shooting,passing,dribbling,defending,physical
https://www.fifacm.com/player/158023/lionel-messi,85,92,91,95,38,65
https://www.fifacm.com/player/20801/cristiano-ronaldo,89,93,81,89,35,77
https://www.fifacm.com/player/188545/robert-lewandowski,78,92,79,86,44,82
https://www.fifacm.com/player/190871/neymar-jr,91,85,86,94,36,58
https://www.fifacm.com/player/192985/kevin-de-bruyne,77,86,93,88,64,78
https://www.fifacm.com/player/200389/jan-oblak,87,92,78,90,43,90
https://www.fifacm.com/player/167495/manuel-neuer,88,88,91,89,54,88
https://www.fifacm.com/player/192448/ter-stegen,88,85,88,90,38,88
https://www.fifacm.com/player/203376/virgil-van-dijk,73,60,71,72,91,85
https://www.fifacm.com/player/209331/mohamed-salah,93,87,81,90,45,75
https://www.fifacm.com/player/231747/kylian-mbappe,96,87,78,91,39,76
https://www.fifacm.com/player/155862/sergio-ramos,71,70,76,74,88,85
https://www.fifacm.com/player/165153/karim-benzema,74,85,81,87,40,76
https://www.fifacm.com/player/192119/thibaut-courtois,84,89,74,88,42,86
https://www.fifacm.com/player/193041/keylor-navas,90,85,75,90,54,87
https://www.fifacm.com/player/200104/heung-min-son,88,88,82,87,43,70
https://www.fifacm.com/player/200145/casemiro,65,73,76,73,86,90
https://www.fifacm.com/player/202126/harry-kane,68,91,82,82,51,83
https://www.fifacm.com/player/212622/joshua-kimmich,71,73,86,84,83,80
https://www.fifacm.com/player/212831/alisson,86,86,84,89,56,90
https://www.fifacm.com/player/182521/toni-kroos,54,81,91,81,71,68
https://www.fifacm.com/player/201024/kalidou-koulibaly,75,28,55,69,89,86
https://www.fifacm.com/player/208722/sadio-mane,94,83,79,89,44,76
https://www.fifacm.com/player/210257/ederson,86,82,93,88,64,87
https://www.fifacm.com/player/212198/bruno-fernandes,76,86,89,85,70,78
https://www.fifacm.com/player/215914/n-golo-kante,77,66,76,81,86,82
https://www.fifacm.com/player/153079/sergio-aguero,74,89,75,87,33,69
https://www.fifacm.com/player/162835/samir-handanovic,88,83,70,88,45,89
https://www.fifacm.com/player/167948/hugo-lloris,89,83,65,90,65,85
https://www.fifacm.com/player/176580/luis-suarez,71,90,82,83,51,83
https://www.fifacm.com/player/177003/luka-modric,73,76,89,88,72,66
https://www.fifacm.com/player/178603/mats-hummels,57,59,77,73,90,77
https://www.fifacm.com/player/183898/angel-di-maria,83,81,85,87,48,68
https://www.fifacm.com/player/186153/wojciech-szczesny,86,82,73,88,51,87
https://www.fifacm.com/player/189596/thomas-muller,68,84,83,79,56,71
https://www.fifacm.com/player/192387/ciro-immobile,84,88,67,83,39,77
https://www.fifacm.com/player/202652/raheem-sterling,92,80,79,87,45,70
https://www.fifacm.com/player/207865/marquinhos,77,48,75,73,88,79
https://www.fifacm.com/player/208830/jamie-vardy,86,85,68,80,56,75
https://www.fifacm.com/player/209499/fabinho,69,69,79,77,86,83
https://www.fifacm.com/player/209658/leon-goretzka,80,82,82,84,81,86
https://www.fifacm.com/player/211110/paulo-dybala,85,82,84,91,43,63
https://www.fifacm.com/player/216267/andrew-robertson,82,62,80,81,82,76
https://www.fifacm.com/player/233049/jadon-sancho,83,76,82,91,37,64
https://www.fifacm.com/player/239085/erling-haaland,87,90,65,79,45,87
https://www.fifacm.com/player/138956/giorgio-chiellini,66,46,58,62,89,79
https://www.fifacm.com/player/143076/alejandro-gomez,88,78,84,87,39,55
https://www.fifacm.com/player/152729/pique,58,61,71,69,86,80
https://www.fifacm.com/player/168542/david-silva,64,74,88,88,52,55
https://www.fifacm.com/player/183277/eden-hazard,86,80,83,91,35,63
https://www.fifacm.com/player/183711/jordan-henderson,67,74,84,79,81,82
https://www.fifacm.com/player/189332/jordi-alba,86,69,81,83,77,71
https://www.fifacm.com/player/189511/sergio-busquets,42,62,78,80,82,77
https://www.fifacm.com/player/192505/romelu-lukaku,81,84,74,76,38,84
https://www.fifacm.com/player/193080/de-gea,88,80,76,89,57,80
https://www.fifacm.com/player/194765/antoine-griezmann,80,83,84,87,57,72
https://www.fifacm.com/player/195864/paul-pogba,73,81,85,86,65,83
https://www.fifacm.com/player/199556/marco-verratti,64,60,85,90,79,67
https://www.fifacm.com/player/204963/carvajal,80,54,78,81,82,80
https://www.fifacm.com/player/206113/serge-gnabry,83,85,80,86,43,70
https://www.fifacm.com/player/212218/aymeric-laporte,63,50,72,69,87,80
https://www.fifacm.com/player/213345/kingsley-coman,93,76,79,88,30,61
https://www.fifacm.com/player/218667/bernardo-silva,81,77,83,91,54,67
https://www.fifacm.com/player/228702/frenkie-de-jong,81,68,84,87,77,77
https://www.fifacm.com/player/230621/gianluigi-donnarumma,89,81,76,89,50,84
https://www.fifacm.com/player/231281/trent-alexander-arnold,78,68,87,80,80,71
https://www.fifacm.com/player/231866/rodrigo,65,70,77,77,82,82
https://www.fifacm.com/player/232363/milan-skriniar,74,41,59,67,88,82
https://www.fifacm.com/player/163587/kasper-schmeichel,84,78,80,90,45,83
https://www.fifacm.com/player/164240/thiago-silva,58,54,72,72,86,78
https://www.fifacm.com/player/175943/dries-mertens,86,82,80,89,35,51
https://www.fifacm.com/player/185122/peter-gulacsi,84,85,82,86,42,84
https://www.fifacm.com/player/188567/aubameyang,90,85,75,80,37,69
https://www.fifacm.com/player/189509/thiago,63,72,85,90,70,63
https://www.fifacm.com/player/189513/parejo,50,83,90,81,71,69
https://www.fifacm.com/player/192984/koen-casteels,85,83,80,87,44,84
https://www.fifacm.com/player/193747/koke,67,75,85,81,78,80
https://www.fifacm.com/player/198176/stefan-de-vrij,74,41,64,70,87,75
https://www.fifacm.com/player/198219/lorenzo-insigne,88,78,83,91,36,44
https://www.fifacm.com/player/198706/luis-alberto,74,77,86,85,60,59
https://www.fifacm.com/player/201535/raphael-varane,82,49,63,65,86,82
https://www.fifacm.com/player/201942/roberto-firmino,77,78,79,89,61,78
https://www.fifacm.com/player/204485/riyad-mahrez,83,79,80,90,38,60
https://www.fifacm.com/player/210243/ricardo-pereira,83,67,79,82,81,76
https://www.fifacm.com/player/210514/joao-cancelo,86,71,83,84,80,71
https://www.fifacm.com/player/222492/leroy-sane,92,81,79,85,38,68
https://www.fifacm.com/player/223848/sergej-milinkovic-savic,69,79,80,83,79,85
https://www.fifacm.com/player/231677/marcus-rashford,91,85,80,86,43,78
https://www.fifacm.com/player/235243/matthijs-de-ligt,72,59,66,69,85,84
https://www.fifacm.com/player/239818/ruben-santos-gato-alves-dias,64,38,57,67,87,88
https://www.fifacm.com/player/41236/zlatan-ibrahimovic,60,87,78,80,34,77
https://www.fifacm.com/player/135507/fernandinho,59,72,76,78,84,77
https://www.fifacm.com/player/146536/jesus-navas,87,69,79,83,80,58
https://www.fifacm.com/player/177683/yann-sommer,79,81,84,84,48,86
https://www.fifacm.com/player/179813/edinson-cavani,69,85,71,76,55,81
https://www.fifacm.com/player/181291/georginio-wijnaldum,77,75,80,86,79,79
https://www.fifacm.com/player/183907/jerome-boateng,72,50,73,67,85,79
https://www.fifacm.com/player/184087/toby-alderweireld,62,55,70,68,86,79
https://www.fifacm.com/player/184344/leonardo-bonucci,60,58,70,71,85,77
https://www.fifacm.com/player/186942/ilkay-gundogan,66,80,85,86,73,72
https://www.fifacm.com/player/188350/marco-reus,75,84,84,85,46,63
https://www.fifacm.com/player/188377/kyle-walker,92,63,76,78,80,83
https://www.fifacm.com/player/191043/alex-sandro,81,65,77,80,80,80
https://www.fifacm.com/player/192563/bernd-leno,85,80,78,86,55,84
https://www.fifacm.com/player/192629/iago-aspas,82,85,79,86,35,63
https://www.fifacm.com/player/199434/dusan-tadic,68,81,86,85,43,75
https://www.fifacm.com/player/199451/wissam-ben-yedder,81,84,77,87,39,69
https://www.fifacm.com/player/200458/lucas-digne,78,69,80,80,80,76
https://www.fifacm.com/player/200647/josip-ilicic,74,86,84,84,43,67
https://www.fifacm.com/player/202556/memphis-depay,82,83,82,83,32,78
https://www.fifacm.com/player/204838/raul-jimenez,76,82,76,82,49,83
https://www.fifacm.com/player/204923/marcel-sabitzer,80,84,81,80,67,78
https://www.fifacm.com/player/208093/gerard-moreno-balaguero,79,85,77,83,46,73
https://www.fifacm.com/player/208574/filip-kostic,88,77,81,83,68,80
https://www.fifacm.com/player/208670/hakim-ziyech,78,76,87,83,50,65
https://www.fifacm.com/player/212188/timo-werner,91,81,70,84,35,70
https://www.fifacm.com/player/216352/marcelo-brozovic,63,74,80,78,79,77
https://www.fifacm.com/player/216460/jose-maria-gimenez,70,45,57,59,86,82
https://www.fifacm.com/player/216594/nabil-fekir,80,83,82,87,38,79
https://www.fifacm.com/player/226161/marcos-llorente,87,79,80,83,78,82
https://www.fifacm.com/player/226790/wilfred-ndidi,71,62,69,74,87,84
https://www.fifacm.com/player/228941/andre-miguel-valente-da-silva,73,85,70,83,47,77
https://www.fifacm.com/player/230142/oyarzabal,82,82,80,84,41,63
https://www.fifacm.com/player/230658/arthur-henrique-ramos-oliveira-melo,66,73,82,87,75,71
https://www.fifacm.com/player/231478/lautaro-martinez,83,82,71,84,48,82
https://www.fifacm.com/player/168435/salvatore-sirigu,83,79,76,80,46,84
https://www.fifacm.com/player/169416/carlos-vela,80,82,78,84,31,67
https://www.fifacm.com/player/176266/lucas-pezzini-leiva,60,66,75,77,82,70
https://www.fifacm.com/player/177413/axel-witsel,61,72,81,79,82,80
https://www.fifacm.com/player/178005/rui-patricio,83,80,77,83,53,81
https://www.fifacm.com/player/178562/ever-banega,63,75,84,82,76,70
https://www.fifacm.com/player/180930/edin-dzeko,59,83,72,76,46,74
https://www.fifacm.com/player/183512/yuri-berchiche-izeta,83,68,77,76,80,82
https://www.fifacm.com/player/184134/fernando-reges,66,62,74,73,82,82
https://www.fifacm.com/player/184432/azpilicueta,67,55,77,73,83,76
https://www.fifacm.com/player/186345/kieran-trippier,73,63,81,77,79,72
https://www.fifacm.com/player/188943/kevin-trapp,82,78,79,85,45,83
https://www.fifacm.com/player/189242/coutinho,72,79,82,89,52,59
https://www.fifacm.com/player/189575/iker-muniain-goni,81,76,82,87,51,61
https://www.fifacm.com/player/190460/christian-eriksen,70,79,88,81,53,60
https://www.fifacm.com/player/190941/lukas-hradecky,85,78,69,87,38,83
https://www.fifacm.com/player/192774/kostas-manolas,82,25,42,62,85,79
https://www.fifacm.com/player/193165/jesus-corona,83,67,79,85,77,60
https://www.fifacm.com/player/197061/joel-matip,61,46,68,68,85,78
https://www.fifacm.com/player/197445/david-alaba,77,70,81,80,83,76
https://www.fifacm.com/player/197781/isco,68,75,81,90,59,59
https://www.fifacm.com/player/199482/lopes,85,80,70,86,63,81
https://www.fifacm.com/player/199564/sergi-roberto-carnicer,77,63,81,78,77,73
https://www.fifacm.com/player/199845/francesco-acerbi,64,50,62,64,86,83
https://www.fifacm.com/player/199914/allan-marques-loureiro,73,71,77,83,82,81
