player_name,info,overall_rating,potential_rating,age,wages,primary_foot,work_rate,strong_foot,weak_foot,release_clause,ref_url,hieght,weight,club,country
 Lionel Messi ," RW, ST, CF |    2021 - 2023 |  R.Face  ", 93 , 93 , 33 ,  €103.5M €320K , L , M / L , 4   , 4   , €0 ,/player/158023/lionel-messi," 170cm | 5'6"" ", Messi (72kg | 159lbs) ,Paris Saint-Germain,Argentina
 Cristiano Ronaldo ," ST, LW |    2018 - 2022 |  R.Face  ", 92 , 92 , 35 ,  €63M €220K , R , H / L , 5   , 4   , €0 ,/player/20801/cristiano-ronaldo," 187cm | 6'1"" ", CR7 (83kg | 183lbs) ,Piemonte Calcio,Portugal
 Robert Lewandowski , ST |    2014 - 2023 |  R.Face  , 92 , 92 , 31 ,  €124.5M €270K , R , H / M , 4   , 4   , €0 ,/player/188545/robert-lewandowski," 185cm | 6'0"" ", Unique (81kg | 179lbs) ,Bayern München,Poland
 Neymar Jr ," LW, CAM |    2017 - 2025 |  R.Face  ", 91 , 91 , 28 ,  €132M €270K , R , H / M , 5   , 5   , €0 ,/player/190871/neymar-jr," 175cm | 5'8"" ", Neymar (68kg | 150lbs) ,Paris Saint-Germain,Brazil
 Kevin De Bruyne ," CM, CAM, CF |    2015 - 2025 |  R.Face  ", 91 , 91 , 29 ,  €127.5M €370K , R , H / H , 4   , 5   , €0 ,/player/192985/kevin-de-bruyne," 181cm | 5'11"" ", Unique (70kg | 154lbs) ,Manchester City,Belgium
 Jan Oblak , GK |    2014 - 2023 |  R.Face  , 91 , 93 , 27 ,  €120M €125K , R , M / M , 1   , 3   , €0 ,/player/200389/jan-oblak," 188cm | 6'2"" ", Unique (87kg | 192lbs) ,Atlético de Madrid,Slovenia
 Manuel Neuer , GK |    2011 - 2023 |  R.Face  , 90 , 90 , 34 ,  €20.5M €135K , R , M / M , 1   , 4   , €0 ,/player/167495/manuel-neuer," 193cm | 6'3"" ", Unique (93kg | 205lbs) ,Bayern München,Germany
 ter Stegen , GK |    2014 - 2025 |  R.Face  , 90 , 92 , 28 ,  €102M €260K , R , M / M , 1   , 4   , €262.4M ,/player/192448/ter-stegen," 187cm | 6'1"" ", Unique (85kg | 187lbs) ,FC Barcelona,Germany
 Virgil van Dijk , CB |    2018 - 2025 |  R.Face  , 90 , 91 , 29 ,  €110M €210K , R , M / M , 2   , 3   , €0 ,/player/203376/virgil-van-dijk," 193cm | 6'3"" ", Unique (92kg | 203lbs) ,Liverpool,Holland
 Mohamed Salah , RW |    2017 - 2023 |  R.Face  , 90 , 90 , 28 ,  €120.5M €250K , L , H / M , 4   , 3   , €0 ,/player/209331/mohamed-salah," 175cm | 5'8"" ", Salah (71kg | 157lbs) ,Liverpool,Egypt
 Kylian Mbappé ," ST, LW |    2018 - 2022 |  R.Face  ", 90 , 95 , 21 ,  €185.5M €160K , R , H / L , 5   , 4   , €0 ,/player/231747/kylian-mbappe," 178cm | 5'10"" ", Unique (73kg | 161lbs) ,Paris Saint-Germain,France
 Sergio Ramos , CB |    2005 - 2021 |  R.Face  , 89 , 89 , 34 ,  €33.5M €300K , R , H / M , 3   , 3   , €0 ,/player/155862/sergio-ramos," 184cm | 6'0"" ", Unique (82kg | 181lbs) ,Real Madrid,Spain
 Karim Benzema ," CF, ST |    2009 - 2023 |  R.Face  ", 89 , 89 , 32 ,  €83.5M €350K , R , M / M , 4   , 4   , €0 ,/player/165153/karim-benzema," 185cm | 6'0"" ", Average (81kg | 179lbs) ,Real Madrid,France
 Thibaut Courtois , GK |    2018 - 2026 |  R.Face  , 89 , 91 , 28 ,  €88M €250K , L , M / M , 1   , 3   , €226.3M ,/player/192119/thibaut-courtois," 199cm | 6'6"" ", Courtois (96kg | 212lbs) ,Real Madrid,Belgium
 Keylor Navas , GK |    2019 - 2024 |  R.Face  , 89 , 89 , 33 ,  €33.5M €135K , R , M / M , 1   , 3   , €0 ,/player/193041/keylor-navas," 185cm | 6'0"" ", High & Average (80kg | 176lbs) ,Paris Saint-Germain,Costa Rica
 Heung Min Son ," LM, CF, LW |    2015 - 2023 |  R.Face  ", 89 , 89 , 28 ,  €104M €220K , R , H / H , 4   , 5   , €0 ,/player/200104/heung-min-son," 183cm | 6'0"" ", Unique (78kg | 172lbs) ,Tottenham Hotspur,Korea Republic
 Casemiro , CDM |    2013 - 2025 |  R.Face  , 89 , 89 , 28 ,  €90.5M €310K , R , H / H , 2   , 3   , €0 ,/player/200145/casemiro," 185cm | 6'0"" ", Unique (84kg | 185lbs) ,Real Madrid,Brazil
 Harry Kane , ST |    2010 - 2024 |  R.Face  , 89 , 89 , 26 ,  €114.5M €230K , R , H / H , 3   , 5   , €0 ,/player/202126/harry-kane," 188cm | 6'2"" ", Unique (89kg | 196lbs) ,Tottenham Hotspur,England
 Joshua Kimmich ," CDM, RB |    2015 - 2025 |  R.Face  ", 89 , 90 , 25 ,  €110M €150K , R , H / M , 3   , 4   , €0 ,/player/212622/joshua-kimmich," 177cm | 5'9"" ", Lean (75kg | 165lbs) ,Bayern München,Germany
 Alisson , GK |    2018 - 2027 |  R.Face  , 89 , 90 , 27 ,  €88M €155K , R , M / M , 1   , 3   , €191.5M ,/player/212831/alisson," 191cm | 6'3"" ", Unique (91kg | 201lbs) ,Liverpool,Brazil
 Toni Kroos , CM |    2014 - 2023 |  R.Face  , 88 , 88 , 30 ,  €87.5M €310K , R , M / M , 3   , 5   , €0 ,/player/182521/toni-kroos," 183cm | 6'0"" ", Average (76kg | 168lbs) ,Real Madrid,Germany
